country,code,years
Tanzania,TZA,64.94390244
Uganda,UGA,58.46641463
Ukraine,UKR,71.18658537
Upper middle income,UMC,74.43883867
Uruguay,URY,76.98614634
United States,USA,78.94146341
Uzbekistan,UZB,68.33902439
St. Vincent and the Grenadines,VCT,72.93685366
"Venezuela, RB",VEN,74.23619512
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,79.77317073
Vietnam,VNM,75.62912195
Vanuatu,VUT,71.91831707
West Bank and Gaza,PSE,72.90402439
World,WLD,71.45499816
Samoa,WSM,73.51182927
"Yemen, Rep.",YEM,63.81819512
South Africa,ZAF,57.18212195
"Congo, Dem. Rep.",COD,58.65919512
Zambia,ZMB,60.04704878
Zimbabwe,ZWE,57.49831707
