country,country,male,female
St. Kitts and Nevis,KNA,,
"Korea, Rep.",KOR,78.99,85.48
Kosovo,KSV,69,73.3
Kuwait,KWT,73.466,75.76
Latin America & Caribbean (excluding high income),LAC,71.56097257,78.04094443
Lao PDR,LAO,64.772,67.53
Lebanon,LBN,77.577,81.259
Liberia,LBR,59.871,61.846
Libya,LBY,68.941,74.63
St. Lucia,LCA,72.401,77.825
Latin America & Caribbean,LCN,71.78725146,78.26303207
Least developed countries: UN classification,LDC,61.7606035,64.69868997
Low income,LIC,59.74984274,62.88212368
Liechtenstein,LIE,80.7,83.9
Sri Lanka,LKA,71.507,78.247
Lower middle income,LMC,65.52903279,69.08849299
Low & middle income,LMY,67.78032731,71.72332064
Lesotho,LSO,49.584,49.823
Late-demographic dividend,LTE,72.84538783,77.58852882
Lithuania,LTU,68.6,79.6
Luxembourg,LUX,80.5,84
Latvia,LVA,69.7,78.9
"Macao SAR, China",MAC,78.437,82.775
St. Martin (French part),MAF,76.2,82.6
Morocco,MAR,73.02,75.062
Monaco,MCO,,
Moldova,MDA,67.431,75.682
Madagascar,MDG,63.61,66.635
Maldives,MDV,75.806,77.788
Middle East & North Africa,MEA,71.06753655,74.75781433
Mexico,MEX,74.356,79.206
Marshall Islands,MHL,,
Middle income,MIC,68.67750997,72.74943342
"Macedonia, FYR",MKD,73.098,77.699
Mali,MLI,58.177,57.786
Malta,MLT,79.6,84
Myanmar,MMR,63.852,67.964
Middle East & North Africa (excluding high income),MNA,70.29392721,74.33348682
Montenegro,MNE,74.069,78.398
Mongolia,MNG,65.28,73.857
Northern Mariana Islands,MNP,,
Mozambique,MOZ,53.584,56.54
Mauritania,MRT,61.56,64.546
Mauritius,MUS,70.97,77.58
Malawi,MWI,61.747,63.745
Malaysia,MYS,72.43,77.121
North America,NAC,76.94333645,81.65940775
Namibia,NAM,62.148,67.339
New Caledonia,NCL,74.5,80.8
Niger,NER,60.578,62.383
Nigeria,NGA,52.425,53.1
Nicaragua,NIC,71.856,77.912
Netherlands,NLD,79.5,83.2
Norway,NOR,79.8,83.8
Nepal,NPL,68.212,71.067
Nauru,NRU,,
New Zealand,NZL,79.6,83.3
OECD members,OED,77.5421711,82.82685758
Oman,OMN,75.069,79.202
Other small states,OSS,65.41514839,67.57750632
Pakistan,PAK,65.258,67.155
Panama,PAN,74.621,80.718
Peru,PER,71.947,77.233
Philippines,PHL,64.911,71.788
Palau,PLW,,
Papua New Guinea,PNG,60.524,64.794
Poland,POL,73.4,81.3
Pre-demographic dividend,PRE,57.20126281,59.59374293
Puerto Rico,PRI,75.544,83.397
"Korea, Dem. People’s Rep.",PRK,66.662,73.658
Portugal,PRT,77.6,84
Paraguay,PRY,70.83,75.118
Pacific island small states,PSS,67.56529012,72.39130859
Post-demographic dividend,PST,77.87267269,83.22343764
French Polynesia,PYF,74.329,78.865
Qatar,QAT,77.349,79.907
Romania,ROU,71.6,78.7
Russian Federation,RUS,65,76
Rwanda,RWA,61.052,67.025
South Asia,SAS,66.75235427,69.5603513
Saudi Arabia,SAU,73.026,75.714
Sudan,SDN,61.98,65.011
Senegal,SEN,64.516,68.322
Singapore,SGP,80.5,84.9
Solomon Islands,SLB,66.523,69.409
Sierra Leone,SLE,50.35,51.434
El Salvador,SLV,68.297,77.435
San Marino,SMR,,
Somalia,SOM,53.767,57.022
Serbia,SRB,72.9,78.3
Sub-Saharan Africa (excluding high income),SSA,57.2848492,59.90461636
South Sudan,SSD,54.731,56.681
Sub-Saharan Africa,SSF,57.28590809,59.90631507
Small states,SST,66.38729147,69.42696465
Sao Tome and Principe,STP,64.429,68.438
Suriname,SUR,68.029,74.43
Slovak Republic,SVK,73.3,80.3
Slovenia,SVN,77.3,83.9
Sweden,SWE,80.2,83.8
Swaziland,SWZ,49.624,48.211
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,68.4,78.3
Syrian Arab Republic,SYR,63.972,76.475
Turks and Caicos Islands,TCA,,
Chad,TCD,50.508,52.656
East Asia & Pacific (IDA & IBRD countries),TEA,72.18751708,75.9942617
Europe & Central Asia (IDA & IBRD countries),TEC,68.22109789,76.83229977
Togo,TGO,58.948,60.399
Thailand,THA,71.143,77.865
Tajikistan,TJK,66.197,73.169
Turkmenistan,TKM,61.5,69.902
Latin America & the Caribbean (IDA & IBRD countries),TLA,71.65728695,78.17169321
Middle East & North Africa (IDA & IBRD countries),TMN,70.28568179,74.32613849
Timor-Leste,TLS,66.545,70.059
Tonga,TON,69.92,75.808
South Asia (IDA & IBRD),TSA,66.75235427,69.5603513
Sub-Saharan Africa (IDA & IBRD countries),TSS,57.28590809,59.90631507
Trinidad and Tobago,TTO,67.023,74.029
Tunisia,TUN,71.9,76.5
Turkey,TUR,71.984,78.502
Tuvalu,TUV,,
Tanzania,TZA,63.54,66.418
Uganda,UGA,56.743,60.276
Ukraine,UKR,66.25,76.37
Upper middle income,UMC,72.24045099,76.80986124
Uruguay,URY,73.512,80.634
United States,USA,76.6,81.4
Uzbekistan,UZB,65.04,71.803
St. Vincent and the Grenadines,VCT,70.871,75.106
"Venezuela, RB",VEN,70.204,78.47
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,76.7,83
Vietnam,VNM,71.014,80.475
Vanuatu,VUT,69.931,74.005
West Bank and Gaza,PSE,70.965,74.94
World,WLD,69.39583895,73.60109644
Samoa,WSM,70.405,76.774
"Yemen, Rep.",YEM,62.486,65.217
South Africa,ZAF,55.167,59.298
"Congo, Dem. Rep.",COD,57.247,60.142
Zambia,ZMB,58.229,61.956
Zimbabwe,ZWE,56.171,58.892
